# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	745395
#@/user_id	609eb46f-9fbb-457e-a6d7-e0f6bbed9cc1
a 	啊	c=55 d=0.1 t=726491
a 	阿	c=2 d=1 t=627727
a a a a 	啊啊啊啊	c=0 d=0.1 t=639219
a a a a a 	啊啊啊啊啊	c=1 d=1 t=639220
a bo luo 	阿波羅	c=1 d=1 t=106292
a bu 	阿布	c=3 d=1 t=676100
a da 	阿達	c=0 d=0.1 t=555892
a dou 	阿斗	c=0 d=0.1 t=374818
a du 	阿杜	c=2 d=1.99501 t=371188
a fa bu 	啊發佈	c=1 d=1 t=180084
a fa na kuai 	啊發那塊	c=1 d=1 t=487682
a gong 	阿公	c=0 d=0.1 t=54997
a gong ding 	阿公定	c=1 d=1 t=54998
a hao 	阿浩	c=1 d=1 t=149426
a hong 	阿訇	c=0 d=0.1 t=0
a hou 	啊後	c=1 d=1 t=375873
a kui na 	阿奎那	c=2 d=1 t=217189
a la bo 	阿拉伯	c=1 d=1 t=654768
a li 	阿里	c=241 d=1 t=736061
a li ba ba 	阿里巴巴	c=1 d=1 t=63208
a li lang 	阿里郎	c=2 d=1.48432 t=278923
a li nei bu 	阿里內部	c=1 d=1 t=556974
a li yu 	阿里於	c=1 d=1 t=529270
a li yun 	阿里雲	c=53 d=2.71645 t=727825
a qu a 	啊去啊	c=1 d=1 t=670532
a su 	阿蘇	c=1 d=1 t=328443
a ti 	阿嚏	c=0 d=0.1 t=613540
a ti da 	阿嚏大	c=1 d=1 t=613541
a yi 	阿姨	c=5 d=1 t=691569
ai 	唉	c=40 d=1 t=640071
ai 	愛	c=21 d=1 t=702678
ai 	矮	c=1 d=1 t=374603
ai 	艾	c=2 d=1 t=89973
ai bao 	艾堡	c=1 d=1 t=405638
ai bu cuo 	愛不錯	c=1 d=1 t=554091
ai che 	愛車	c=5 d=4.18507 t=732938
ai cong zai 	愛從在	c=1 d=1 t=629192
ai da 	捱打	c=1 d=1 t=25619
ai dao 	捱到	c=1 d=1 t=117526
ai di 	艾迪	c=0 d=0.1 t=619496
ai di si 	艾迪斯	c=1 d=1 t=619497
ai ding bao 	愛丁堡	c=1 d=1 t=490831
ai ge 	挨個	c=8 d=1 t=646978
ai guang 	挨光	c=0 d=0.1 t=47956
ai hao 	愛好	c=7 d=1 t=484511
ai hao zhe 	愛好者	c=6 d=1 t=625318
ai hu 	愛護	c=1 d=1 t=202428
ai mei 	曖昧	c=14 d=1 t=706766
ai ni 	愛你	c=0 d=0.1 t=439640
ai pi 	挨批	c=0 d=0.1 t=67369
ai qi yi 	愛奇藝	c=1 d=1 t=9430
ai ren 	愛人	c=8 d=1 t=618927
ai shang 	愛上	c=0 d=0.1 t=113389
ai song 	愛松	c=5 d=1 t=617988
ai ta 	愛他	c=5 d=1 t=532212
ai ting 	愛聽	c=1 d=1 t=97668
ai ya 	哎呀	c=2 d=1 t=104196
ai yin si tan 	愛因斯坦	c=1 d=1 t=115831
ai yong 	愛用	c=1 d=1 t=724251
ai you 	哎呦	c=1 d=1 t=656777
ai yuan 	哀怨	c=1 d=1 t=278809
an 	安	c=30 d=1 t=675235
an 	按	c=3 d=1 t=733046
an 	暗	c=1 d=1 t=442119
an 	案	c=2 d=1.97045 t=242599
an bu dong 	按不懂	c=1 d=1 t=674708
an bu jiu ban 	按部就班	c=2 d=1 t=637575
an chao 	暗潮	c=1 d=1 t=20581
an cheng 	案秤	c=1 d=1 t=18274
an cuo 	按錯	c=1 d=1 t=307617
an dao li 	按道理	c=3 d=1 t=698871
an di 	安迪	c=1 d=1 t=168328
an dun 	安頓	c=2 d=1.98511 t=154201
an fa 	案發	c=1 d=1 t=391846
an fu 	安撫	c=18 d=1 t=741342
an fu hao 	安撫好	c=1 d=1 t=540042
an fu qi 	安撫起	c=1 d=1 t=318442
an gan 	安幹	c=1 d=1 t=563577
an ge 	安格	c=1 d=1 t=454552
an guo ning jia 	安国宁家	c=3 d=1 t=693413
an hei 	暗黑	c=7 d=1 t=299761
an huang 	暗黃	c=2 d=1 t=77615
an jia 	安家	c=6 d=1 t=532328
an jian 	安檢	c=2 d=1 t=94491
an jian 	案件	c=2 d=1 t=404896
an jing 	安靜	c=2 d=1 t=649142
an kang 	安康	c=2 d=1 t=521373
an li 	安利	c=2 d=1 t=149693
an li 	案例	c=57 d=1 t=723065
an li hen duo 	案例很多	c=1 d=1 t=297030
an li ku 	案例庫	c=1 d=1 t=229912
an long 	安龍	c=2 d=1 t=300439
an mo 	按摩	c=3 d=0.106909 t=575032
an mo nv zu 	按摩女足	c=1 d=1 t=526674
an mo zuo yi 	按摩座椅	c=1 d=1 t=575033
an na 	安娜	c=2 d=1 t=146554
an ning 	安寧	c=2 d=1 t=23126
an niu 	按鈕	c=41 d=1 t=744630
an o 	按哦	c=2 d=1 t=536066
an pai 	安排	c=878 d=1.00381 t=743292
an pai dao 	安排到	c=1 d=1 t=332039
an pai hao 	安排好	c=1 d=1 t=11133
an pai le 	安排了	c=2 d=1 t=116158
an pai ren li 	安排人力	c=1 d=1 t=570687
an pai tong xue 	安排同學	c=1 d=1 t=94740
an qi 	安琪	c=2 d=1 t=243037
an qi 	按期	c=2 d=1 t=243038
an qu 	暗渠	c=2 d=1 t=499343
an quan 	安全	c=139 d=1.86071 t=738093
an quan di yi 	安全第一	c=1 d=1 t=638501
an quan gan 	安全感	c=2 d=1 t=556753
an quan qu 	安全區	c=1 d=1 t=654549
an quan sheng chan 	安全生產	c=1 d=1 t=248294
an quan wen ti 	安全問題	c=1 d=1 t=17828
an quan xing 	安全性	c=12 d=1 t=490677
an quan zhi 	安全掣	c=2 d=1 t=72227
an quan zu 	安全組	c=26 d=1 t=542041
an quan zuo yi 	安全座椅	c=1 d=1 t=736892
an ran 	黯然	c=0 d=0.1 t=525307
an ri 	按日	c=2 d=1 t=548532
an se 	暗色	c=4 d=0.737628 t=224624
an se zhu ti 	暗色主題	c=1 d=1 t=224625
an shen 	安身	c=1 d=1 t=198387
an shi 	按時	c=13 d=1 t=436201
